"","weekday_sun","season","temp","dewp","NUM_COLLISIONS"
"179",4,4,67.7,65.5,0.609418282548476
"180",5,4,68.7,67.2,0.703601108033241
"181",6,4,69.8,68,0.157894736842105
"182",7,4,71.6,68.2,0.54016620498615
"183",2,4,73,69.2,0.373961218836565
"184",1,4,74.4,69.8,0.260387811634349
"185",3,4,72.6,68.9,0.653739612188366
"186",4,4,72.7,69.3,0.559556786703601
"187",5,4,71.1,69.7,0.645429362880886
"188",6,4,71.8,69.7,0.46814404432133
"189",7,4,69.4,67.8,0.60387811634349
"190",2,4,67.9,66.3,0.537396121883656
"191",1,4,72.9,70.5,0.249307479224377
"192",3,4,76.3,71.2,0.554016620498615
"193",4,4,77.4,68.4,0.556786703601108
"194",5,4,72.9,65.8,0.631578947368421
"195",6,4,75.6,69.6,0.706371191135734
"196",7,4,73.9,71.4,0.875346260387812
"197",2,4,74.5,71.7,0.470914127423823
"198",1,4,72.8,69.1,0.182825484764543
"199",3,4,68.3,65.9,0.581717451523546
"200",4,4,72.1,70,0.526315789473684
"201",5,4,74.9,71.6,0.526315789473684
"202",6,4,67.7,62.8,0.349030470914127
"203",7,4,66.1,64.4,0.653739612188366
"204",2,4,69.1,66.1,0.373961218836565
"205",1,4,69.8,68,0.28808864265928
"206",3,4,69.2,67.1,0.598337950138504
"207",4,4,71.2,64.3,0.562326869806094
"208",5,4,70.6,62.6,0.476454293628809
"209",6,4,68.9,64.7,0.725761772853186
"210",7,4,69.7,66,0.678670360110803
"211",2,4,69.3,66.1,0.307479224376731
"212",1,4,69.4,61.9,0.202216066481994
"213",3,4,68.1,54.5,0.454293628808864
"214",4,4,66.2,54.5,0.448753462603878
"215",5,4,64.5,55.9,0.351800554016621
"216",6,4,67.8,64,0.465373961218837
"217",7,4,70.7,68.8,0.548476454293629
"218",2,4,72.4,66.5,0.315789473684211
"219",1,4,69.5,56.7,0.277008310249307
"220",3,4,68.2,63.2,0.382271468144044
"221",4,4,67.8,66.7,0.473684210526316
"222",5,4,68.4,59.6,0.667590027700831
"223",6,4,67.2,52.7,0.60387811634349
"224",7,4,67.4,59.7,0.822714681440443
"225",2,4,67.3,59.8,0.340720221606648
"226",1,4,64.8,58.4,0.168975069252078
"227",3,4,65.5,60.8,0.224376731301939
"228",4,4,71,64.7,0.445983379501385
"229",5,4,70.3,66.7,0.501385041551247
"230",6,4,70.5,68.9,0.545706371191136
"231",7,4,70.6,65,0.706371191135734
"232",2,4,66.2,55.2,0.404432132963989
"233",1,4,64,54.6,0.21606648199446
"234",3,4,68.3,64.1,0.38781163434903
"235",4,4,68,66.6,0.346260387811634
"236",5,4,66.4,64.6,0.279778393351801
"237",6,4,65.7,63.7,0.529085872576177
"238",7,4,65,59.2,0.60387811634349
"239",2,4,69.4,67,0.274238227146814
"240",1,3,70.7,68.3,0.274238227146814
"241",3,3,70.8,68.7,0.138504155124654
"242",4,3,70.1,69,0.470914127423823
"243",5,3,68.5,61.9,0.617728531855956
"244",6,3,67.4,62.1,0.310249307479224
"245",7,3,60.3,47.8,0.39612188365651
"246",2,3,63.6,50.4,0.565096952908587
"247",1,3,68,59.3,0.329639889196676
"248",3,3,59.8,42.5,0.695290858725762
"249",4,3,65.5,57.5,0.686980609418283
"250",5,3,69.9,66.8,0.54016620498615
"251",6,3,70.2,67.6,0.869806094182826
"252",7,3,69.1,67,0.750692520775623
"253",2,3,64.5,57.6,0.382271468144044
"254",1,3,61.2,50.7,0.263157894736842
"255",3,3,62.4,54.8,0.523545706371191
"256",4,3,56.1,43.1,0.681440443213296
"257",5,3,56.1,42.7,0.526315789473684
"258",6,3,62.4,54.6,0.429362880886427
"259",7,3,62.6,58.5,0.692520775623269
"260",2,3,63.6,60.3,0.457063711911357
"261",1,3,66.3,63.4,0.565096952908587
"262",3,3,57.5,44.9,0.775623268698061
"263",4,3,54.5,42.7,0.64819944598338
"264",5,3,55.3,45.3,0.437673130193906
"265",6,3,56.8,46.4,0.373961218836565
"266",7,3,58.1,51.2,0.476454293628809
"267",2,3,59.2,50.1,0.45983379501385
"268",1,3,54.9,50.1,0.346260387811634
"269",3,3,59.5,54.3,0.620498614958449
"270",4,3,62.1,51.8,0.650969529085873
"271",5,3,64.8,58.1,0.736842105263158
"272",6,3,65.8,56.3,0.578947368421053
"273",7,3,62.8,57.5,0.767313019390582
"274",2,3,61.3,57.7,0.321329639889197
"275",1,3,59.1,54.8,0.0637119113573407
"276",3,3,65.7,62.3,0.656509695290859
"277",4,3,61.5,51.6,0.534626038781163
"278",5,3,56.4,44.3,0.409972299168975
"279",6,3,58.4,52.6,0.493074792243767
"280",7,3,60.6,56.6,0.664819944598338
"281",2,3,58.6,53.4,0.484764542936288
"282",1,3,55.1,45.6,0.335180055401662
"283",3,3,51.5,44,0.163434903047091
"284",4,3,53.9,47.3,0.64819944598338
"285",5,3,57.5,55.4,0.462603878116344
"286",6,3,59.4,57.4,0.534626038781163
"287",7,3,62.3,57,0.828254847645429
"288",2,3,57.3,45,0.249307479224377
"289",1,3,58.3,47.4,0.301939058171745
"290",3,3,54.4,41.1,0.650969529085873
"291",4,3,59.1,52.4,0.440443213296399
"292",5,3,52.5,44.6,0.490304709141274
"293",6,3,48.4,34.5,0.695290858725762
"294",7,3,48,30.2,0.736842105263158
"295",2,3,49,32.9,0.678670360110803
"296",1,3,54.3,38.7,0.362880886426593
"297",3,3,50.7,33,0.662049861495845
"298",4,3,47.5,34.1,0.606648199445983
"299",5,3,46.8,38.6,0.490304709141274
"300",6,3,54.8,50.9,0.64819944598338
"301",7,3,62.3,59.7,0.911357340720222
"302",2,3,57.4,55.2,0.470914127423823
"303",1,3,49.4,43.7,0.0941828254847645
"304",3,3,42,26,0.767313019390582
"305",4,3,43.5,30.4,0.357340720221607
"306",5,3,46.5,41.4,0.703601108033241
"307",6,3,57.8,55.7,0.734072022160665
"308",7,3,47.1,32,0.833795013850416
"309",2,3,41.7,22.4,0.526315789473684
"310",1,3,52.5,39.7,0.257617728531856
"311",3,3,47.1,30.4,0.207756232686981
"312",4,3,45.7,36.8,0.736842105263158
"313",5,3,33.5,20.7,0.587257617728532
"314",6,3,42.8,27.4,0.662049861495845
"315",7,3,53,39.1,0.653739612188366
"316",2,3,51.2,43.6,0.6398891966759
"317",1,3,48.9,45.9,0.418282548476454
"318",3,3,55.9,53.7,0.637119113573407
"319",4,3,47,29.2,0.606648199445983
"320",5,3,38,21.5,0.626038781163435
"321",6,3,39,26.7,0.684210526315789
"322",7,3,46.2,41.9,0.889196675900277
"323",2,3,47.3,34.3,0.429362880886427
"324",1,3,30.5,9.2,0.313019390581717
"325",3,3,27,4.4,0.911357340720222
"326",5,3,53.3,51.9,1
"327",6,3,40.1,28.4,0.132963988919668
"328",7,3,31.2,12.9,0.155124653739612
"329",2,3,31.3,15.4,0.271468144044321
"330",1,2,43.1,35,0.10803324099723
"331",3,2,44,42.1,0.465373961218837
"332",4,2,41.8,38.2,0.476454293628809
"333",5,2,39.8,31.7,0.385041551246537
"334",6,2,43.4,40.5,0.53185595567867
"335",2,2,39.7,34.5,0.515235457063712
"336",1,2,34,19.4,0.207756232686981
"337",3,2,40.8,36.3,0.714681440443213
"338",4,2,38.8,35.1,0.437673130193906
"339",5,2,31.8,20.6,0.620498614958449
"340",6,2,28.1,11.3,0.739612188365651
"341",7,2,28.1,12,0.869806094182826
"342",2,2,26.9,15.8,0.85595567867036
"343",1,2,40,37.1,0.191135734072022
"344",3,2,32,15.5,0.717451523545706
"345",4,2,28.6,15.9,0.89196675900277
"346",5,2,35.4,30.1,0.886426592797784
"347",6,2,39.1,27.5,0.626038781163435
"348",7,2,42.5,37.5,0.811634349030471
"349",2,2,47.6,45.6,0.590027700831025
"350",1,2,51.9,51.2,0.343490304709141
"351",3,2,48.7,47.5,0.903047091412742
"352",4,2,38.4,34.9,0.371191135734072
"353",6,2,33.3,26.8,0.130193905817175
"354",7,2,33.1,22.7,0.263157894736842
"355",2,2,39.3,29.8,0.260387811634349
"356",1,2,43.2,40.6,0.03601108033241
"357",3,2,42.5,36.9,0.263157894736842
"358",4,2,28.5,16.8,0.232686980609418
"359",5,1,28.2,10.4,0.0601092896174863
"360",6,1,31.1,22.4,0.617486338797814
"361",7,1,24.2,20.2,0.12568306010929
"362",2,1,18.8,10.9,0.112021857923497
"363",3,1,46.3,45.1,0.385245901639344
"364",4,1,23.9,10.4,0.311475409836066
"365",5,1,18.2,5,0.653005464480874
"366",6,1,23.5,8.3,0.502732240437158
"367",7,1,28.8,22.6,0.792349726775956
"368",2,1,44.8,43,0.240437158469945
"369",1,1,45.1,38.4,0.0300546448087432
"370",3,1,38.6,31.2,0.521857923497268
"371",4,1,45.5,43.2,0.497267759562842
"372",5,1,41.1,38.4,0.562841530054645
"373",6,1,40.8,39.3,0.39344262295082
"374",7,1,38.6,35.8,0.579234972677596
"375",2,1,38.8,35.8,0.193989071038251
"376",1,1,36.1,29,0.00819672131147541
"377",5,1,25,20.3,0.330601092896175
"378",6,1,16.5,5.1,0.64207650273224
"379",7,1,14.8,-0.5,0.896174863387978
"380",2,1,32,23,0.26775956284153
"381",1,1,26.8,15.4,0.240437158469945
"382",3,1,38.8,32.3,0.366120218579235
"383",4,1,22.2,-1.3,0.346994535519126
"384",5,1,20.3,10.4,0.743169398907104
"385",6,1,22,5.8,0.765027322404372
"386",7,1,33.7,26.7,0.5
"387",2,1,35.6,25.1,0.355191256830601
"388",1,1,39.3,37.2,0.109289617486339
"389",4,1,32.5,26.2,0.644808743169399
"390",5,1,32.3,29.1,0.248633879781421
"391",6,1,30.4,24.5,0.524590163934426
"392",7,1,28.1,15.7,0.814207650273224
"393",2,1,28.2,14.2,0.128415300546448
"394",1,1,30.3,18.2,0.199453551912568
"395",3,1,28.9,18.8,0.822404371584699
"396",4,1,24,6.4,0.707650273224044
"397",5,1,23.7,10,0.718579234972678
"398",6,1,37,32,0.191256830601093
"399",2,1,35.2,28.8,0.379781420765027
"400",1,1,29.8,22.4,0.237704918032787
"401",3,1,24.3,8.9,0.311475409836066
"402",4,1,28.2,18.5,0.385245901639344
"403",5,1,35,29.4,0.478142076502732
"404",6,1,39.6,32.2,0.489071038251366
"405",7,1,42.2,40,0.459016393442623
"406",2,1,41.4,36.5,0.573770491803279
"407",1,1,42,36.9,0.101092896174863
"408",3,1,37.5,25.8,0.524590163934426
"409",4,1,27,8.7,0.371584699453552
"410",5,1,25.8,12.6,0.366120218579235
"411",6,1,24.7,11.2,0.530054644808743
"412",7,1,20.3,0.3,0.759562841530055
"413",2,2,24.1,12.5,0.327868852459016
"414",3,2,27.3,20.3,0.172131147540984
"415",4,2,24.8,12.2,0.423497267759563
"416",5,2,29.5,18.3,0.311475409836066
"417",6,2,26.3,14,0.494535519125683
"418",7,2,29.4,20.9,0.426229508196721
"419",2,2,40.3,33.2,0.377049180327869
"420",1,2,35.2,21.7,0.0737704918032787
"421",3,2,33.5,24,0.371584699453552
"422",4,2,41.3,34.1,0.363387978142077
"423",5,2,43.4,37.1,0.377049180327869
"424",6,2,32.2,27.9,0.459016393442623
"425",7,2,25.4,9,0.568306010928962
"426",2,2,41.3,34.3,0.387978142076503
"427",1,2,35.3,16.8,0.0956284153005464
"428",3,2,28.5,12.1,0.387978142076503
"429",4,2,27.7,14.7,0.475409836065574
"430",5,2,35,23.6,0.404371584699454
"431",6,2,41.7,37.6,0.683060109289617
"432",7,2,39.3,28.2,0.579234972677596
"433",2,2,38.1,27.9,0.316939890710383
"434",1,2,38.9,25.3,0.136612021857924
"435",3,2,27.4,8,0.46448087431694
"436",4,2,26.5,10.5,0.265027322404372
"437",5,2,30.8,22.2,0.508196721311475
"438",6,2,28.4,8.6,0.439890710382514
"439",7,2,41.2,35.6,0.418032786885246
"440",2,2,44.9,42.2,0.524590163934426
"441",1,2,46.3,44.7,0.163934426229508
"442",3,2,37.8,35.3,0.497267759562842
"443",4,2,37.1,29.8,0.469945355191257
"444",5,2,39.3,28.6,0.387978142076503
"445",6,2,40.9,30.9,0.587431693989071
"446",7,2,40,30.2,0.669398907103825
"447",2,2,44.8,39.6,0.554644808743169
"448",1,2,41.1,25.3,0.292349726775956
"449",3,2,42,33.9,0.426229508196721
